t,,M_x,M_y,M_z,M_norm,M_theta,M_phi,,ML_x,ML_y,ML_z,ML_norm,ML_theta,ML_phi,,MR_x,MR_y,MR_z,MR_norm,MR_theta,MR_phi,,Mm_x,Mm_y,Mm_z,Mm_norm,Mm_theta,Mm_phi,,U,UL,UR,Um,UmL,UmR,ULR,,,x,y,z,m_x,m_y,m_z,s_x,s_y,s_z,f_x,f_y,f_z,,,width = 11,height = 10,depth = 10,molPosL = 5,molPosR = 5,topL = 3,bottomL = 7,frontR = 3,backR = 7,simCount = 10000000,freq = 1000,kT = 0.4,"B = <0, 0, 0>",sL = 1,sR = 1,sm = 1,FL = 0,FR = 0,Fm = 0,JL = 1,JR = 1,Jm = 0,JmL = 0.5,JmR = -0.5,JLR = 0,"AL = <0, 0, 0>","AR = <0, 0, 0>","Am = <0, 0, 0>",bL = 0,bR = 0,bm = 0,bmL = 0,bmR = 0,bLR = 0,,msd_version = 5.0
10000,,-93.5689,18.6585,11.2014,96.0664,2.94477,0.116867,,-17.762,56.5893,-17.022,61.7056,1.87493,-0.279482,,-79.1254,-40.4112,30.8184,94.0407,-2.6694,0.333882,,3.31853,2.48042,-2.59498,4.88867,0.641865,-0.559563,,-780.227,-392.607,-383.84,0,-3.35773,-0.422713,0,,,0,5,0,0.623115,-0.696052,-0.356705,0.623115,-0.696052,-0.356705,-0,0,-0
11000,,-99.5445,24.1865,6.87869,102.671,2.90324,0.0670473,,-14.1245,65.5108,-22.162,70.5856,1.78315,-0.319375,,-83.7463,-42.4341,32.5701,99.3725,-2.6726,0.333929,,-1.67373,1.10972,-3.52944,4.06076,2.55612,-1.05349,,-798.035,-398.161,-394.463,0,-2.34526,-3.06556,0,,,1,5,0,0.640148,-0.75872,0.120638,0.640148,-0.75872,0.120638,0,0,-0
12000,,-106.026,12.7323,17.9692,108.289,3.02208,0.166708,,-18.4857,56.4231,-17.3341,61.8527,1.8874,-0.284052,,-85.7084,-40.8065,37.3706,102.018,-2.69724,0.375044,,-1.83208,-2.8842,-2.06732,3.99362,-2.13671,-0.544109,,-797.128,-402.294,-392.483,0,0.142246,-2.49403,0,,,2,5,0,0.724987,-0.688134,0.0294262,0.724987,-0.688134,0.0294262,-0,-0,-0
13000,,-109.585,18.106,31.0797,115.337,2.97785,0.27284,,-22.777,59.6493,-3.7843,63.9621,1.93556,-0.0591993,,-88.3178,-41.3656,38.4164,104.819,-2.70357,0.375248,,1.50955,-0.1777,-3.55238,3.8639,-0.117178,-1.16649,,-827.699,-411.059,-412.372,0,-0.535323,-3.73259,0,,,3,5,0,0.753369,-0.640905,-0.147226,0.753369,-0.640905,-0.147226,0,0,-0
14000,,-114.792,4.02979,33.0657,119.527,3.1065,0.280293,,-24.62,55.087,-1.79226,60.365,1.99109,-0.0296947,,-90.7114,-48.8198,36.2474,109.205,-2.64786,0.338338,,0.539505,-2.23744,-1.38952,2.68849,-1.33419,-0.543156,,-834.092,-413.393,-416.899,0,-1.43851,-2.36097,0,,,4,5,0,0.0882418,-0.93973,-0.330334,0.0882418,-0.93973,-0.330334,0,-0,0
15000,,-134.178,6.2836,29.9131,137.615,3.0948,0.219117,,-42.4921,60.6954,1.82403,74.1137,2.18158,0.0246138,,-92.4036,-54.7522,27.7454,110.933,-2.60668,0.252795,,0.717625,0.340378,0.343638,0.865407,0.442887,0.408335,,-851.022,-422.791,-424.066,0,-1.71319,-2.45209,0,,,0,6,0,0.572643,-0.711962,-0.406436,0.572643,-0.711962,-0.406436,-0,0,0
16000,,-130.217,-2.6153,33.812,134.561,-3.12151,0.253999,,-39.4977,57.3212,-2.61596,69.6609,2.17414,-0.0375617,,-93.3818,-59.2601,35.1949,116.063,-2.57612,0.308091,,2.66225,-0.676402,1.23306,3.0109,-0.248807,0.421939,,-853.62,-426.438,-423.077,0,-3.16072,-0.944261,0,,,1,6,0,0.242466,-0.840144,-0.485148,0.242466,-0.840144,-0.485148,-0,0,0
17000,,-146.969,-2.27724,28.5786,149.739,-3.1261,0.192034,,-48.7398,61.74,0.432718,78.6612,2.23906,0.00550106,,-99.7602,-62.2955,30.6037,121.529,-2.58339,0.254562,,1.53136,-1.72178,-2.45786,3.36908,-0.843864,-0.817644,,-864.499,-429.725,-431.775,0,-0.901831,-2.09792,0,,,2,6,0,0.704522,-0.667975,0.239705,0.704522,-0.667975,0.239705,-0,-0,-0
18000,,-150.761,7.46773,27.8388,153.492,3.0921,0.182379,,-52.2954,59.1173,-5.16782,79.0973,2.29504,-0.0653815,,-99.483,-57.083,36.3101,120.307,-2.62066,0.306593,,1.01696,5.43341,-3.30346,6.43964,1.38577,-0.538662,,-864.775,-428.484,-431.836,0,-1.66399,-2.79206,0,,,3,6,0,0.498925,-0.638117,0.586413,0.498925,-0.638117,0.586413,-0,-0,0
19000,,-146.595,14.3378,31.603,150.646,3.0441,0.211353,,-52.1087,62.5892,-0.43125,81.4427,2.26507,-0.00529515,,-96.0895,-53.8808,36.452,116.039,-2.63054,0.319546,,1.60345,5.62943,-4.41778,7.33337,1.29331,-0.646531,,-855.12,-429.152,-420.705,0,-2.50817,-2.75364,0,,,4,6,0,0.854327,-0.235957,0.463088,0.854327,-0.235957,0.463088,0,-0,-0
