,,10,0.907459,0.850893,0.848115,0.735401,0.889749,0.1,0.858516,0,0.639435,0.834819,0.900228
,,10,0.726734,0.859982,0.767247,0.781416,0.80922,0.199443,0.804652,0,0.663723,0.715999,0.914496
,,10,0.857976,0.946188,0.857789,0.913043,0.832229,0.1,0.817466,0,0.700398,0.720489,0.844257
,,10,0.861315,0.837407,0.865162,0.899919,0.855987,0.156216,0.84869,0,0.675584,0.675368,0.781258
,,10,0.1,0.869301,0.814127,0.864884,0.909133,0.194045,0.898245,0,0.706556,0.769687,0.886961
,,10,0.898108,0.875288,0.883974,0.931672,0.833006,0.170465,0.847719,0,0.731313,0.808303,0.850406
,,10,0.779044,0.758216,0.808016,0.910863,0.774316,0.156904,0.727168,0,0.710645,0.812004,0.898607
,,10,0.744177,0.828795,0.850084,0.748583,0.815434,0.133738,0.817849,0,0.667349,0.842662,0.845781

"m_x, orientation: z-axis, horizontal: x, vertical: y",,,0,1,2,3,4,5,6,7,8,9,10
,,1071200164,-0.410858,-0.44185,-0.334557,-0.259145,-0.12719,0.017986,0.0776378,0.108194,0.00741544,-0.0128258,-0.0646378
,,10,-0.174147,-0.355843,-0.391257,-0.392805,-0.135505,-0.096893,-0.0679865,0,-0.189566,0.00835601,-0.126068
,,10,-0.0842495,0.0265744,-0.203616,-0.399772,-0.436023,-0.084386,-0.23897,0,0.00672992,0.193982,0.324265
,,10,-0.113216,-0.213334,-0.238115,-0.241206,-0.502195,0.0818973,-0.186813,0,0.0970719,0.254383,0.139133
,,10,-0.285628,-0.411904,-0.196074,-0.399542,-0.552885,0.0336103,-0.197991,0,0.270069,0.161586,0.20262
,,10,-0.502805,-0.28765,-0.25591,-0.336352,-0.136109,0.0749581,0.0338305,0,0.118397,0.194742,0.0891533
,,10,-0.0659823,-0.261191,0.0623635,-0.157563,-0.189742,0.179407,-0.0270478,0,0.180732,0.312528,0.572314
,,10,0.0995694,0.141547,0.159346,-0.00723713,-0.0967747,0.144553,0.330829,0,0.101978,0.405541,0.456568
,,10,0.103726,0.0104251,0.0916798,0.0460897,-0.199735,0.130736,0.448335,0,0.433908,0.314153,0.26042
,,10,-0.0921395,0.172383,-0.0440277,-0.31017,-0.387018,0.10998,0.378377,0,0.398506,0.620975,0.357205

"m_y, orientation: z-axis, horizontal: x, vertical: y",,,0,1,2,3,4,5,6,7,8,9,10
,,3097328,0.0236289,0.223402,0.286007,0.33258,0.401211,0.0327514,-0.0280134,-0.129446,-0.0800803,-0.640662,-0.522852
,,10,0.146887,0.283502,0.44708,0.409169,0.493675,0.0835997,-0.739521,0,-0.546788,-0.588841,-0.564331
,,10,0.550784,0.438114,0.37544,0.278574,0.618792,0.0351765,-0.686873,0,-0.393254,-0.604801,-0.670824
,,10,0.474831,0.525588,0.384402,0.257376,0.277334,0.0275133,-0.634017,0,-0.58859,-0.58263,-0.878105
,,10,0.636349,0.493371,0.411402,0.584357,0.126012,-0.0443665,-0.553985,0,-0.445779,-0.526032,-0.684762
,,10,0.517537,0.33739,0.62696,0.604181,0.693227,0.100259,-0.705476,0,-0.397781,-0.465272,-0.730435
,,10,0.0146947,0.611963,0.667009,0.808185,0.82638,0.0419727,-0.635243,0,-0.528685,-0.510614,-0.535056
,,10,0.709624,0.737454,0.770042,0.893642,0.755898,0.0405915,-0.474802,0,-0.507146,-0.473474,-0.457613
,,10,0.711584,0.70889,0.698413,0.905213,0.724737,0.06366,-0.377298,0,-0.383645,-0.221419,-0.0980244
,,10,0.717908,0.758589,0.696702,0.61694,0.64548,0.0251885,-0.430605,0,-0.191542,-0.182772,-0.44897

"m_z, orientation: z-axis, horizontal: x, vertical: y",,,0,1,2,3,4,5,6,7,8,9,10
,,32,0.716219,0.702039,0.564828,0.384007,0.181582,0.0374363,-0.056459,-0.0626241,-0.0594319,-0.280588,-0.342064
,,10,0.762883,0.77414,0.666917,0.651485,0.564847,0.0856302,-0.370825,0,-0.307202,-0.221455,-0.446467
,,10,0.716255,0.72895,0.732724,0.550811,0.467584,0.0405169,-0.456233,0,-0.504166,-0.541764,-0.505231
,,10,0.538386,0.646386,0.619842,0.697272,0.57072,0.179759,-0.458899,0,-0.290976,-0.329373,-0.214189
,,10,0.499598,0.6944,0.726708,0.576663,0.609133,0.0830781,-0.567583,0,-0.467869,-0.465065,-0.450351
,,10,0.470326,0.710406,0.538457,0.575923,0.483347,0.0934498,-0.470569,0,-0.533072,-0.449132,-0.262452
,,10,0.0736913,0.559433,0.462614,0.264642,0.32805,0.0608674,-0.634491,0,-0.432492,-0.483754,-0.415779
,,10,0.541402,0.449727,0.403799,0.263371,0.336382,0.0807159,-0.619469,0,-0.516935,-0.514503,-0.552564
,,10,0.299664,0.268809,0.395859,0.0902024,0.185546,0.0589443,-0.430598,0,-0.411772,-0.715285,-0.854439
,,10,0.172967,0.285883,0.485087,0.289059,0.313856,0.0718024,-0.583341,0,-0.49986,-0.539503,-0.62143

